#ID	#Prefab名	#头像路径	#名字	#阵营	#点击脚本类型	#脚本数据ID	#AI类型ID	#视野范围	#观望距离	#移动速度
2107124	2707	GameLegend/HeadPic/Another	朱小兰	2	1	210712401	42	80	80	1.5
2107125	2912	GameLegend/HeadPic/Another	杨柳	2	-1	-1	42	80	80	1.5
2107126	2005	GameLegend/HeadPic/Another	向雨	2	35	2107126	-1	80	80	1.5
2107127	2911	GameLegend/HeadPic/Another	明德	2	1	210712701	-1	80	80	1.5
2107128	2005	GameLegend/HeadPic/Another	周彪	2	1	210712801	-1	80	80	1.5
2107129	2021	GameLegend/HeadPic/Another	钟卫娘（日）	2	1	210712901	-1	80	80	1.5
2107130	2706	GameLegend/HeadPic/Another	慕容白	2	1	210713001	-1	80	80	1.5
2107131	2005	GameLegend/HeadPic/Another	慕容小白	2	1	210713001	-1	80	80	1.5
2107132	2005	GameLegend/HeadPic/Another	方昆	2	1	210713201	-1	80	80	1.5
2107133	2706	GameLegend/HeadPic/Another	江子夫	2	1	210713301	-1	80	80	1.5
2107134	2707	GameLegend/HeadPic/Another	吕媚	2	1	210713401	-1	80	80	1.5
2107135	2911	GameLegend/HeadPic/Another	朱余庆	2	1	210713501	-1	80	80	1.5
2107136	2020	GameLegend/HeadPic/Another	殷玲玲	2	1	210713601	-1	80	80	1.5
2107137	2005	GameLegend/HeadPic/Another	夏不正	2	1	210713701	-1	0	0	1.5
2107138	2913	GameLegend/HeadPic/Another	陆不笙	2	1	210713701	40	80	80	1.5
2107139	2911	GameLegend/HeadPic/Another	戚志俞	2	1	210713901	42	80	80	1.5
2107140	2911	GameLegend/HeadPic/Another	廖不失	2	35	2107141	-1	0	0	1.5
2107141	2912	GameLegend/HeadPic/Another	何圆	2	35	2107141	-1	0	0	1.5
2107142	2005	GameLegend/HeadPic/Another	宋飞宇	2	1	210714201	-1	0	0	1.5
2107143	2005	GameLegend/HeadPic/Another	高不离	2	1	210714301	-1	0	0	1.5
2107144	2020	GameLegend/HeadPic/Another	岳紫薇	2	1	210713301	-1	0	0	1.5
2108101	2706	GameLegend/HeadPic/Another	陈博	2	35	2108101	-1	0	0	1.5
2108102	2706	GameLegend/HeadPic/Another	卢向仁	2	1	210810201	-1	80	80	1.5
2108103	2917	GameLegend/HeadPic/Another	kkkk	2	-1	-1	40	80	80	1.5
2108104	2005	GameLegend/HeadPic/Another	kkkk	2	-1	-1	-1	0	0	1.5
2108105	2005	GameLegend/HeadPic/Another	kkkk	2	-1	-1	-1	0	0	1.5
2108106	2005	GameLegend/HeadPic/Another	kkkk	2	-1	-1	-1	0	0	1.5
2108107	2005	GameLegend/HeadPic/Another	kkkk	2	-1	-1	-1	0	0	1.5
2108108	2005	GameLegend/HeadPic/Another	kkkk	2	-1	-1	-1	0	0	1.5
2108109	2005	GameLegend/HeadPic/Another	kkkk	2	-1	-1	-1	0	0	1.5
2108110	2913	GameLegend/HeadPic/Another	kkkk	2	-1	-1	-1	0	0	1.5
2108115	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2108116	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2108117	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2108118	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2108119	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2108120	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2108121	2020	GameLegend/HeadPic/Another	胡环香	2	-1	-1	42	80	80	1.5
2108122	2707	GameLegend/HeadPic/Another	甄叶璃	2	35	2108122	-1	0	0	1.5
2108123	2021	GameLegend/HeadPic/Another	kkkk	2	-1	-1	-1	0	0	1.5
2108124	2020	GameLegend/HeadPic/Another	kkkk	2	-1	-1	42	80	80	1.5
2108125	2020	GameLegend/HeadPic/Another	kkkk	2	-1	-1	42	80	80	1.5
2108126	2996	GameLegend/HeadPic/Another	保存石像	2	57	10	42	80	80	1.5
2108127	2911	GameLegend/HeadPic/Another	梅有才	2	1	210810101	42	80	80	1.5
2108128	2706	GameLegend/HeadPic/Another	道静	2	1	210812801	42	80	80	1.5
2108129	2707	GameLegend/HeadPic/Another	琉璃	2	1	210812801	-1	80	80	1.5
2108130	2708	GameLegend/HeadPic/Another	雷万鹤	2	1	210813001	-1	80	80	1.5
2108131	2720	GameLegend/HeadPic/Another	雷万鹤贴身童子	2	1	210813101	-1	80	80	1.5
2108132	2701	GameLegend/HeadPic/Another	田卜离	2	1	210813201	-1	80	80	1.5
2108133	2716	GameLegend/HeadPic/Another	灵兽山参观弟子1	2	1	210813301	-1	80	80	1.5
2108134	2714	GameLegend/HeadPic/Another	灵兽山参观弟子2	2	1	210813301	-1	80	80	1.5
2108135	2711	GameLegend/HeadPic/Another	巨剑门参观弟子	2	1	210813501	-1	80	80	1.5
2108136	2705	GameLegend/HeadPic/Another	化刀坞参观弟子	2	1	210813601	-1	80	80	1.5
2108137	2723	GameLegend/HeadPic/Another	掩月宗参观弟子	2	1	210813701	-1	80	80	1.5
2108138	2719	GameLegend/HeadPic/Another	天阙堡参观弟子1	2	1	210813801	-1	80	80	1.5
2108139	2727	GameLegend/HeadPic/Another	天阙堡参观弟子2	2	1	210813801	-1	80	80	1.5
2103901	2915	GameLegend/HeadPic/Another	道衍	2	-1	-1	40	80	80	1.5
2110901	2021	GameLegend/HeadPic/Another	钟卫娘（夜）	2	1	211090101	-1	80	80	1.5
2106901	2706	GameLegend/HeadPic/Another	汤明秋	2	1	210690101	-1	80	80	1.5
2102901	2005	GameLegend/HeadPic/Another	药园弟子	2	1	210290101	-1	80	80	1.5
2104901	3001	GameLegend/HeadPic/Another	醉猴	2	1	210490101	-1	80	80	1.5
2104902	5994	GameLegend/HeadPic/Another	酒坛	2	-1	-1	-1	80	80	1.5
2104903	5994	GameLegend/HeadPic/Another	酒坛	2	-1	-1	-1	80	80	1.5
2201901	2715	GameLegend/HeadPic/Another	钟吾	2	-1	-1	-1	80	80	1.5
2201902	5003	GameLegend/HeadPic/Another	小三霄草	2	-1	-1	-1	80	80	1.5
2201903	5997	GameLegend/HeadPic/Another	骨蛆	2	-1	-1	-1	80	80	1.5
2201904	5998	GameLegend/HeadPic/Another	小鱼人	2	-1	-1	-1	80	80	1.5
2202901	3002	GameLegend/HeadPic/Another	受伤的铁臂猿	2	1	220290101	-1	80	80	1.5
2203901	3003	GameLegend/HeadPic/Another	冯义	2	1	220390101	40	200	80	1.5
2203902	2301	GameLegend/HeadPic/Another	空储物袋	2	1	220390201	-1	80	80	1.5
2304901	2726	GameLegend/HeadPic/Another	元武国修士	2	1	230490101	-1	80	80	1.5
2304902	2705	GameLegend/HeadPic/Another	小梅	2	1	230490201	-1	80	80	1.5
2401901	2502	GameLegend/HeadPic/Another	余子童	2	1	240190101	-1	80	80	1.5
2401902	2701	GameLegend/HeadPic/Another	金光上人	2	1	240190201	-1	80	80	1.5
2401903	2711	GameLegend/HeadPic/Another	贾天龙	2	1	240190301	-1	80	80	1.5
2404901	3004	GameLegend/HeadPic/Another	明炼	2	1	240490101	40	400	80	1.5
2502901	2704	GameLegend/HeadPic/Another	玉妃	2	1	250290101	-1	80	80	1.5
2503901	3004	GameLegend/HeadPic/Another	黄枫谷男弟子	2	1	-1	40	400	80	1.5
2503902	2020	GameLegend/HeadPic/Another	黄枫谷女弟子	2	-1	-1	-1	80	80	1.5
2503903	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	-1	80	80	1.5
2503904	2020	GameLegend/HeadPic/Another	黄枫谷女弟子	2	-1	-1	-1	80	80	1.5
2503905	2020	GameLegend/HeadPic/Another	黄枫谷女弟子	2	-1	-1	-1	80	80	1.5
2503906	2715	GameLegend/HeadPic/Another	灵兽山男	2	-1	-1	-1	80	80	1.5
2503907	2716	GameLegend/HeadPic/Another	灵兽山女	2	-1	-1	-1	80	80	1.5
2503908	2719	GameLegend/HeadPic/Another	巨剑门弟子	2	-1	-1	-1	80	80	1.5
2503909	3004	GameLegend/HeadPic/Another	段成毅	2	1	250390901	40	400	80	1.5
2503910	2912	GameLegend/HeadPic/Another	云蕊	2	1	250391001	-1	80	80	1.5
2503911	2705	GameLegend/HeadPic/Another	化刀坞女弟子	2	-1	-1	-1	80	80	1.5
2602901	3004	GameLegend/HeadPic/Another	贺景阳	2	1	260290101	40	400	80	1.5
3002501	2999	GameLegend/HeadPic/Another	迎宾阁书架	2	1	300250101	-1	0	0	1.5
3002502	2999	GameLegend/HeadPic/Another	一心阁石碑	2	59	2502	-1	0	0	1.5
3002503	2999	GameLegend/HeadPic/Another	字条	2	1	300250301	-1	0	0	1.5
3002601	2999	GameLegend/HeadPic/Another	珠玑阁石碑	2	59	2601	-1	0	0	1.5
3002602	2999	GameLegend/HeadPic/Another	神秘丹炉	2	1	300260201	-1	0	0	1.5
3002603	2999	GameLegend/HeadPic/Another	黄龙丹方	2	1	300260301	-1	0	0	1.5
3002604	2999	GameLegend/HeadPic/Another	合欢丹方	2	1	300260401	-1	0	0	1.5
3002605	2999	GameLegend/HeadPic/Another	定颜丹方	2	1	300260501	-1	0	0	1.5
3002606	2999	GameLegend/HeadPic/Another	辟谷丹方	2	1	300260601	-1	0	0	1.5
3001101	2999	GameLegend/HeadPic/Another	舞仙坪入口石碑	2	59	1101	-1	0	0	1.5
3001102	2999	GameLegend/HeadPic/Another	棋盘	2	1	300110201	-1	0	0	1.5
3001103	2999	GameLegend/HeadPic/Another	祖训石碑	2	59	1102	-1	0	0	1.5
3001104	2999	GameLegend/HeadPic/Another	打油诗	2	1	300110401	-1	0	0	1.5
3001001	2999	GameLegend/HeadPic/Another	大黄枫	2	1	300100101	-1	0	0	1.5
3001002	2999	GameLegend/HeadPic/Another	巨剑	2	1	300100201	-1	0	0	1.5
3001003	2999	GameLegend/HeadPic/Another	鼎炉	2	1	300100301	-1	0	0	1.5
3001004	2999	GameLegend/HeadPic/Another	左牌位	2	1	300100401	-1	0	0	1.5
3001005	2999	GameLegend/HeadPic/Another	右牌位	2	1	300100501	-1	0	0	1.5
3001006	2999	GameLegend/HeadPic/Another	王师叔的咒诀书	2	1	300100601	-1	0	0	1.5
3001007	2999	GameLegend/HeadPic/Another	药园入口	2	1	300100701	-1	0	0	1.5
3001008	2999	GameLegend/HeadPic/Another	禁地入口	2	59	1008	-1	0	0	1.5
3001301	2999	GameLegend/HeadPic/Another	稻草人	2	1	300130101	-1	0	0	1.5
3001302	2999	GameLegend/HeadPic/Another	药王经	2	1	300130201	-1	0	0	1.5
3001303	2999	GameLegend/HeadPic/Another	秘制药酒	2	1	300130301	-1	0	0	1.5
3001304	2999	GameLegend/HeadPic/Another	马韬宣言	2	59	1304	-1	0	0	1.5
3001401	2999	GameLegend/HeadPic/Another	土地庙	2	1	300140101	-1	0	0	1.5
3001402	2999	GameLegend/HeadPic/Another	牛韬宣言	2	59	1402	-1	0	0	1.5
3001403	2999	GameLegend/HeadPic/Another	禁地石碑	2	59	1403	-1	0	0	1.5
3001404	2999	GameLegend/HeadPic/Another	结草上人墓	2	1	300140401	-1	0	0	1.5
3001201	2999	GameLegend/HeadPic/Another	飞升灵界	2	1	300120101	-1	0	0	1.5
3001202	2999	GameLegend/HeadPic/Another	此地无银	2	1	300120201	-1	0	0	1.5
3001203	2999	GameLegend/HeadPic/Another	太岳石碑	2	59	1203	-1	0	0	1.5
3000701	2999	GameLegend/HeadPic/Another	白骨堆	2	1	300070101	-1	0	0	1.5
3000702	2999	GameLegend/HeadPic/Another	蘑菇有毒	2	1	300070201	-1	0	0	1.5
3000703	2999	GameLegend/HeadPic/Another	外层石碑	2	59	703	-1	0	0	1.5
3000704	2999	GameLegend/HeadPic/Another	枇杷树	2	1	300070401	-1	0	0	1.5
3000801	2999	GameLegend/HeadPic/Another	警告1	2	59	801	-1	0	0	1.5
3000802	2999	GameLegend/HeadPic/Another	警告2	2	59	802	-1	0	0	1.5
3000803	2999	GameLegend/HeadPic/Another	警告3	2	59	803	-1	0	0	1.5
3000804	2999	GameLegend/HeadPic/Another	寒天涯	2	1	300080401	-1	0	0	1.5
3000805	2999	GameLegend/HeadPic/Another	内层石碑	2	59	805	-1	0	0	1.5
3000806	2999	GameLegend/HeadPic/Another	殿门石碑	2	59	806	-1	0	0	1.5
3000901	2999	GameLegend/HeadPic/Another	无言的真相	2	1	300090101	-1	0	0	1.5
3001601	2999	GameLegend/HeadPic/Another	冻尸	2	1	300160101	-1	0	0	1.5
3001602	2999	GameLegend/HeadPic/Another	寒池石碑	2	59	1602	-1	0	0	1.5
3001603	2999	GameLegend/HeadPic/Another	十六年约	2	59	1603	-1	0	0	1.5
3001701	2999	GameLegend/HeadPic/Another	小广告	2	59	1701	-1	0	0	1.5
3001702	2999	GameLegend/HeadPic/Another	管子言	2	59	1702	-1	0	0	1.5
3001703	2999	GameLegend/HeadPic/Another	庄子言	2	59	1703	-1	0	0	1.5
3002001	2999	GameLegend/HeadPic/Another	残道石碑	2	59	2001	-1	0	0	1.5
3002002	2999	GameLegend/HeadPic/Another	失败的炼尸	2	1	300200201	-1	0	0	1.5
3002003	2999	GameLegend/HeadPic/Another	修士尸体	2	1	300200301	-1	0	0	1.5
3002004	2999	GameLegend/HeadPic/Another	坠魔令	2	1	300200401	-1	0	0	1.5
3002101	2999	GameLegend/HeadPic/Another	锁链	2	1	300210101	-1	0	0	1.5
3002102	2999	GameLegend/HeadPic/Another	古殿石碑	2	59	2102	-1	0	0	1.5
3002201	2999	GameLegend/HeadPic/Another	符文	2	1	300220101	-1	0	0	1.5
3002202	2999	GameLegend/HeadPic/Another	破损古宝	2	1	300220201	-1	0	0	1.5
3002203	2999	GameLegend/HeadPic/Another	一组尸体	2	1	300220301	-1	0	0	1.5
3002701	2999	GameLegend/HeadPic/Another	机械傀儡	2	1	300270101	-1	0	0	1.5
3002702	2999	GameLegend/HeadPic/Another	古修遗骸	2	1	300270201	-1	0	0	1.5
3002801	2999	GameLegend/HeadPic/Another	长明灯	2	1	300280101	-1	0	0	1.5
3002802	2999	GameLegend/HeadPic/Another	女尸	2	1	300280201	-1	0	0	1.5
3002901	2999	GameLegend/HeadPic/Another	打不开宝箱	2	1	300290101	-1	0	0	1.5
3002902	2999	GameLegend/HeadPic/Another	大保健	2	1	300290201	-1	0	0	1.5
3003001	2999	GameLegend/HeadPic/Another	壁画	2	1	300300101	-1	0	0	1.5
3003301	2999	GameLegend/HeadPic/Another	天劫	2	1	300330101	-1	0	0	1.5
3003302	2999	GameLegend/HeadPic/Another	二货尸体	2	1	300330201	-1	0	0	1.5
3003303	2999	GameLegend/HeadPic/Another	魔宗战旗	2	1	300330301	-1	0	0	1.5
3003401	2999	GameLegend/HeadPic/Another	刻字	2	1	300340101	-1	0	0	1.5
3003402	2999	GameLegend/HeadPic/Another	老子言	2	59	3402	-1	0	0	1.5
4000001	2710	GameLegend/HeadPic/Another	黑市商人1	2	1	400120001	-1	0	0	1.5
4000002	2026	GameLegend/HeadPic/Another	交易修士	2	1	400120003	-1	0	0	1.5
4000003	2713	GameLegend/HeadPic/Another	秘宝傀儡	2	1	400120005	-1	0	0	1.5
4000004	2710	GameLegend/HeadPic/Another	黑市商人2	2	1	400120007	-1	0	0	1.5
4000005	2710	GameLegend/HeadPic/Another	黑市商人3	2	1	400120008	-1	0	0	1.5
4000006	2710	GameLegend/HeadPic/Another	黑市商人4	2	1	400120009	-1	0	0	1.5
4000007	2710	GameLegend/HeadPic/Another	黑市商人7	2	1	400120010	-1	0	0	1.5
4000008	2710	GameLegend/HeadPic/Another	黑市商人8	2	1	400120011	-1	0	0	1.5
4000009	2709	GameLegend/HeadPic/Another	神秘修士	2	1	400120012	-1	0	0	1.5
4002401	3005	GameLegend/HeadPic/Another	张铁	2	43	30000001	-1	0	0	1.5
4002402	3005	GameLegend/HeadPic/Another	金光上人	2	43	30000002	-1	0	0	1.5
4002403	3005	GameLegend/HeadPic/Another	余子童	2	43	30000003	-1	0	0	1.5
4002404	3005	GameLegend/HeadPic/Another	掩月双骄	2	43	30000004	-1	0	0	1.5
4002405	3005	GameLegend/HeadPic/Another	黄衣汉子	2	43	30000005	-1	0	0	1.5
4002406	3005	GameLegend/HeadPic/Another	贾天龙	2	43	30000006	-1	0	0	1.5
4002407	3005	GameLegend/HeadPic/Another	陈岚	2	43	30000007	-1	0	0	1.5
4002408	3005	GameLegend/HeadPic/Another	南宫婉	2	43	30000008	-1	0	0	1.5
4002409	3005	GameLegend/HeadPic/Another	王禅	2	43	30000009	-1	0	0	1.5
4002410	3005	GameLegend/HeadPic/Another	越皇	2	43	30000010	-1	0	0	1.5
4002411	3005	GameLegend/HeadPic/Another	巨剑门修士	2	43	30000011	-1	0	0	1.5
4002412	3005	GameLegend/HeadPic/Another	清虚门修士	2	43	30000012	-1	0	0	1.5
